Name,TRU,No_HH,TOT_P
Shahuwadi,Total,38837,180322
Shahuwadi,Rural,38837,180322
Shahuwadi,Urban,0,0
Panhala,Total,52853,256296
Panhala,Rural,51919,251603
Panhala,Urban,934,4693
Hatkanangle,Total,104881,494747
Hatkanangle,Rural,85944,407228
Hatkanangle,Urban,18937,87519
Shirol,Total,68681,320133
Shirol,Rural,68681,320133
Shirol,Urban,0,0
Karvir,Total,103008,488477
Karvir,Rural,78901,382004
Karvir,Urban,24107,106473
Bavda,Total,7230,35772
Bavda,Rural,7230,35772
Bavda,Urban,0,0
Radhanagari,Total,42000,199713
Radhanagari,Rural,42000,199713
Radhanagari,Urban,0,0
Kagal,Total,49284,230072
Kagal,Rural,49284,230072
Kagal,Urban,0,0
Bhudargad,Total,33654,150368
Bhudargad,Rural,33654,150368
Bhudargad,Urban,0,0
Ajra,Total,29809,120265
Ajra,Rural,26158,103008
Ajra,Urban,3651,17257
Gadhinglaj,Total,46637,198549
Gadhinglaj,Rural,46637,198549
Gadhinglaj,Urban,0,0
Chandgad,Total,39274,187220
Chandgad,Rural,39274,187220
Chandgad,Urban,0,0